location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
JPC Project Management>EHS Forms>01 Inspections,External - Spot check on excavator and associated works with regards required documentation (DSS / Permits / Daily Inspection) - no issues observed.,2020-09-02,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1330,Safety,,9,2,autumn,0,3,148,Safety,0
JPC Project Management>EHS Forms>01 Inspections,External - Plant nappy under diesel bowser.,2020-09-02,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1330,Safety,,9,2,autumn,0,3,43,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L3 - Spot check carried out on electrical equipment with no issues observed,2020-09-08,,Safety Notice (Green) - Good Observation,Resin Flooring,FormAnswer,True,False,False,Unknown,JPC - Safety - Electrical,1330,Safety,,9,1,autumn,0,3,75,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L3 - Storage of harnesses in good order at time of inspection.,2020-09-08,,Safety Notice (Green) - Good Observation,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1330,Safety,,9,1,autumn,0,3,62,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"L3 - Ladders in good order at time of inspection, also locked up to avoid unauthorized use.",2020-09-08,,Safety Notice (Green) - Good Observation,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1330,Safety,,9,1,autumn,0,3,91,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L3 - Dispose of used mastic tubes - spoke to Fireproofer with regards this.,2020-09-08,,Safety Notice (Amber) - General Issue,Fireseal,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1330,Safety,,9,1,autumn,0,3,75,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"L2 SC 3 - Relocate timelapse camera in front if fire point and pin pulled in CO2 fire extinguisher, should be removed.",2020-08-20,,Safety Notice (Amber) - General Issue,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - Plant & Equipment,1330,Safety,,8,3,summer,0,3,118,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L3 - Review / reinstate floor protection as it is a trip hazard,2020-09-08,,Safety Notice (Amber) - General Issue,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1330,Safety,,9,1,autumn,0,3,63,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Housekeeping maintained to a good standard throughout the floor,2020-09-08,,Safety Notice (Green) - Good Observation,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1330,Safety,,9,1,autumn,0,3,68,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Minor Housekeeping to mechanical riser,2020-09-08,,Safety Notice (Amber) - General Issue,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1330,Safety,,9,1,autumn,0,3,43,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"L2 - Protruding scaffold tube at mechanical riser, risk of contact with operatives",2020-09-08,,Safety Notice (Amber) - General Issue,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1330,Safety,,9,1,autumn,0,3,82,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Scissor lift expires tomorrow ( 9th Sept). Spoke to supervisor and informed it's off hired. Remove scissor lift from building in the event of use.,2020-09-08,,Safety Notice (Amber) - General Issue,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1330,Safety,,9,1,autumn,0,3,151,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Review storage area with regards buckets etc. Some stuff may be relocated to container or skip.,2020-09-08,,Safety Notice (Amber) - General Issue,Resin Flooring,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1330,Safety,,9,1,autumn,0,3,100,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Spot check of MEWP Daily inspection. No issues observed at time of inspection.,2020-09-08,,Safety Notice (Green) - Good Observation,Fireseal,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1330,Safety,,9,1,autumn,0,3,83,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - DSS & Operative tracing record completed adequetly,2020-09-08,,Safety Notice (Green) - Good Observation,Fireseal,FormAnswer,True,True,False,Unknown,JPC - Safety - Documentation,1330,Safety,,9,1,autumn,0,3,55,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Review storage area for Castle lay down,2020-09-08,,Safety Notice (Amber) - General Issue,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1330,Safety,,9,1,autumn,0,3,44,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Exclusion zone around MEWP at time of inspection,2020-09-08,,Safety Notice (Green) - Good Observation,Fireseal,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1330,Safety,,9,1,autumn,0,3,53,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"L2 - Review storage area with PMG, Castle and McLoughlins etc.",2020-08-20,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1330,Safety,,8,3,summer,0,3,62,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - Housekeeping maintained to a good standard throughout the floor,2020-09-08,,Safety Notice (Green) - Good Observation,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1330,Safety,,9,1,autumn,0,3,68,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - Minor Housekeeping to shower area with timber & rubble,2020-09-08,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1330,Safety,,9,1,autumn,0,3,59,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - Floor protection to be reinstated as it is a trip hazard,2020-09-08,,Safety Notice (Amber) - General Issue,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1330,Safety,,9,1,autumn,0,3,61,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - Storage of fireproofing in good order at time of inspection,2020-09-08,,Safety Notice (Green) - Good Observation,Fireseal,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1330,Safety,,9,1,autumn,0,3,64,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - DSS & Operative tracing record completed adequetly,2020-09-08,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1330,Safety,,9,1,autumn,0,3,55,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L1 - Spot check on MEWP no issues observed,2020-09-08,,Safety Notice (Green) - Good Observation,Internal Partitions & Ceilings,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1330,Safety,,9,1,autumn,0,3,42,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L3 - Level of protection to be considered to ope (i.e toe board) for electrical tray. Risk of materials falling through ope in Electrical Room,2020-09-08,,Safety Notice (Amber) - General Issue,Construction Management,FormAnswer,True,False,False,Unknown,JPC - Safety - Working At Height,1330,Safety,,9,1,autumn,0,3,142,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"External - Good level of barriers around area of ground works at time of inspection, generally been managed very well",2020-09-08,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1330,Safety,,9,1,autumn,0,3,117,Safety,0
JPC Project Management>EHS Forms>01 Inspections,"External - Spot checks on documentation (DSS, Daily Plant Inspections etc). No issues observed.",2020-09-08,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1330,Safety,,9,1,autumn,0,3,95,Safety,0
JPC Project Management>EHS Forms>01 Inspections,L2 - Good standard of Exclusion zones around Flooring work areas,2020-08-20,,Safety Notice (Green) - Good Observation,Resin Flooring,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1330,Safety,,8,3,summer,0,3,64,Safety,0
JPC Project Management>EHS Inspections & Assessments,Bins required around glasses cleaning stations,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1345,Safety,,9,3,autumn,0,2,46,Safety,0
JPC Project Management>EHS Inspections & Assessments,Single use slings still not being disposed of.,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,46,Safety,0
JPC Project Management>EHS Inspections & Assessments,Edge protection to be placed around foundation excavations. Mushroom caps or ply protection to be put on bolts.,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,111,Safety,0
JPC Project Management>EHS Inspections & Assessments,Excavation face very steep. Machine driver to leave safe when finishing in the area. Confirmed on site by supervisor that it will be sorted at end of shift.,2020-09-10,,Safety Notice (Amber) - General Issue,Haul Road,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Works,1345,Safety,,9,3,autumn,0,2,156,Safety,0
JPC Project Management>EHS Inspections & Assessments,Housekeeping along GL A to be addressed,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1345,Safety,,9,3,autumn,0,2,39,Safety,0
JPC Project Management>EHS Inspections & Assessments,Damaged rolls of membrane to be skipped or moved to storage area,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,64,Safety,0
JPC Project Management>EHS Inspections & Assessments,Walk way through centre of site in bad condition and needs levelling.,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,69,Safety,0
JPC Project Management>EHS Inspections & Assessments,Shutters leaning against each other. Confirm the correct arrangement of shutters on panel stands.,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Works,1345,Safety,,9,3,autumn,0,2,97,Safety,0
JPC Project Management>EHS Inspections & Assessments,Protection required around pop ups.,2020-09-10,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1345,Safety,,9,3,autumn,0,2,35,Safety,0
JPC Project Management>EHS Inspections & Assessments,Raptic slinger observed using electronic whistle to alert operatives on the scaffold to overhead load.,2020-09-10,,Safety Notice (Green) - Good Observation,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Lifting / Slinging,1345,Safety,,9,3,autumn,0,2,102,Safety,0
JPC Project Management>EHS Inspections & Assessments,Access to SC1 blocked by scaffold accessories,2020-09-10,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1345,Safety,,9,3,autumn,0,2,45,Safety,0
JPC Project Management>EHS Inspections & Assessments,Temporary works design required for smoking shelter,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor - EHS,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Works,1345,Safety,,9,3,autumn,0,2,51,Safety,0
JPC Project Management>EHS Inspections & Assessments,Mushroom caps to be put on starters at mv room.,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,47,Safety,0
JPC Project Management>EHS Inspections & Assessments,Lifting equipment tagged and in good condition.,2020-09-10,,Safety Notice (Green) - Good Observation,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Lifting / Slinging,1345,Safety,,9,3,autumn,0,2,47,Safety,0
JPC Project Management>EHS Inspections & Assessments,Existing manhole to be marked and protected. Currently on haul route.,2020-09-10,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,69,Safety,0
JPC Project Management>EHS Inspections & Assessments,Good edge protection and area delineation around Howleys work area.,2020-09-10,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,67,Safety,0
JPC Project Management>EHS Inspections & Assessments,New car park layout seems to be working,2020-09-10,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,39,Safety,0
JPC Project Management>EHS Inspections & Assessments,Edge protection required around excavations to the north of the site.,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Excavations,1345,Safety,,9,3,autumn,0,2,69,Safety,0
JPC Project Management>EHS Inspections & Assessments,Material storage to be addressed at SW of car park. Loose insulation likely to blow in wind. Heras panels stacked against pallets that are being used etc.,2020-09-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1345,Safety,,9,3,autumn,0,2,154,Safety,0
JPC Project Management>EHS Inspections & Assessments,Good material storage to west of parking and the scaffold yard,2020-09-10,,Safety Notice (Green) - Good Observation,Scaffolding,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1345,Safety,,9,3,autumn,0,2,62,Safety,0
JPC Project Management>EHS Inspections & Assessments,Plastic fuel cans being left all over site. Halcon and Raptic,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1345,Safety,,9,3,autumn,0,2,61,Safety,0
JPC Project Management>EHS Inspections & Assessments,Raptic straight ladder (not in use at time of inspection). Ladder permit available with supervisor after.,2020-09-10,,Safety Notice (Amber) - General Issue,Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,105,Safety,0
JPC Project Management>EHS Inspections & Assessments,More fuel cans,2020-09-10,,Safety Notice (Amber) - General Issue,Enabling Works,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1345,Safety,,9,3,autumn,0,2,14,Safety,0
JPC Project Management>EHS Inspections & Assessments,Good access to pile cap 7. No Rebar protection in place following cropping and area handover to formwork contractor.,2020-09-10,,Safety Notice (Amber) - General Issue,Enabling Works,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,116,Safety,0
JPC Project Management>EHS Inspections & Assessments,Good access to pile cap 6. Rebar protection to be put in place on completion of cropping piles.,2020-09-10,,Safety Notice (Amber) - General Issue,Enabling Works,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,9,3,autumn,0,2,95,Safety,0
JPC Project Management>EHS Management>01 Inspections,external main entrance,2020-08-31,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,22,Safety,0
JPC Project Management>EHS Management>01 Inspections,good dss and exclusion zones,2020-08-31,,Safety Notice (Green) - Good Observation,Drainage,FormAnswer,True,True,False,Unknown,JPC - Safety - Documentation,1328,Safety,,8,0,summer,0,3,28,Safety,0
JPC Project Management>EHS Management>01 Inspections,mc kee ground floor B3,2020-08-31,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,22,Safety,0
JPC Project Management>EHS Management>01 Inspections,B1L1A3,2020-08-31,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,6,Safety,0
JPC Project Management>EHS Management>01 Inspections,B1L1A3,2020-08-31,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,0,summer,0,3,6,Safety,0
JPC Project Management>EHS Management>01 Inspections,B3L2 A1 good covid 19 distancing,2020-08-31,,Safety Notice (Green) - Good Observation,Mechanical,FormAnswer,True,True,False,Unknown,JPC - Safety - PPE,1328,Safety,,8,0,summer,0,3,32,Safety,0
JPC Project Management>EHS Management>01 Inspections,B1L3A2 KH storage,2020-08-31,,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,True,True,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,0,summer,0,3,17,Safety,0
JPC Project Management>EHS Management>01 Inspections,Block 3 most areas access good,2020-08-31,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,True,False,Unknown,JPC - Safety - Access,1328,Safety,,8,0,summer,0,3,30,Safety,0
JPC Project Management>EHS Management>01 Inspections,kirby ladders 2no in date and signed off,2020-08-31,,Safety Notice (Green) - Good Observation,Electrical,FormAnswer,True,False,False,Unknown,JPC - Safety - Working At Height,1328,Safety,,8,0,summer,0,3,40,Safety,0
JPC Project Management>EHS Management>01 Inspections,B3L5A1 ejectrical riser kick board required,2020-08-31,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Exclusion Zones,1328,Safety,,8,0,summer,0,3,43,Safety,0
JPC Project Management>EHS Management>01 Inspections,B4 Roof clean up for Select Roofing,2020-08-31,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,0,summer,0,3,35,Safety,0
JPC Project Management>EHS Management>01 Inspections,shuttering  to slab external left in place,2020-08-31,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,False,True,False,System Failure,JPC - Safety - Public Interface / Hoarding,1328,Safety,,8,0,summer,0,3,42,Safety,0
JPC Project Management>EHS Management>01 Inspections,B1 L4 slab,2020-08-31,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,10,Safety,0
JPC Project Management>EHS Management>01 Inspections,graffitti on hoarding,2020-08-31,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Behavioural Failure,JPC - Safety - Public Interface / Hoarding,1328,Safety,,8,0,summer,0,3,21,Safety,0
JPC Project Management>EHS Management>01 Inspections,temporary storage at entrance,2020-08-31,,Safety Notice (Amber) - General Issue,Cladding & Roofing,FormAnswer,True,False,False,Behavioural Failure,JPC - Safety - PPE,1328,Safety,,8,0,summer,0,3,29,Safety,0
JPC Project Management>EHS Management>01 Inspections,storage steel and scaffold tubes,2020-08-31,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,0,summer,0,3,32,Safety,0
JPC Project Management>EHS Management>01 Inspections,block 2/ ground at Gloster St.,2020-08-31,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,0,summer,0,3,30,Safety,0
JPC Project Management>EHS Management>01 Inspections,block 2 L1,2020-08-31,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,True,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,10,Safety,0
JPC Project Management>EHS Management>01 Inspections,B2L1,2020-08-31,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,0,summer,0,3,4,Safety,0
JPC Project Management>EHS Management>01 Inspections,B2L3,2020-08-31,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,True,False,System Failure,JPC - Safety - Lifting / Slinging,1328,Safety,,8,0,summer,0,3,4,Safety,0
JPC Project Management>EHS Management>01 Inspections,removal of redundant signage old drying room,2020-08-19,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,8,2,summer,0,3,44,Safety,0
JPC Project Management>EHS Management>01 Inspections,lighting access,2020-08-19,,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Electrics,1328,Safety,,8,2,summer,0,3,15,Safety,0
JPC Project Management>EHS Management>01 Inspections,storage of materials,2020-08-19,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,2,summer,0,3,20,Safety,0
JPC Project Management>EHS Management>01 Inspections,removal of temporary works,2020-08-19,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Works,1328,Safety,,8,2,summer,0,3,26,Safety,0
JPC Project Management>EHS Management>01 Inspections,correct ear defenders,2020-08-19,,Safety Notice (Amber) - General Issue,Drainage,FormAnswer,True,False,False,Unknown,JPC - Safety - PPE,1328,Safety,,8,2,summer,0,3,21,Safety,0
JPC Project Management>EHS Management>01 Inspections,access riser heights,2020-08-19,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1328,Safety,,8,2,summer,0,3,20,Safety,0
JPC Project Management>EHS Management>01 Inspections,TW and TE,2020-08-19,,Safety Notice (Amber) - General Issue,Carpentry,FormAnswer,True,False,False,Unknown,JPC - Safety - Temporary Works,1328,Safety,,8,2,summer,0,3,9,Safety,0
JPC Project Management>EHS Management>01 Inspections,house keeping,2020-08-19,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,2,summer,0,3,13,Safety,0
JPC Project Management>EHS Management>03 Safety Notices,working at height,2020-08-19,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1328,Safety,,8,2,summer,0,3,17,Safety,0
QC & BC(A)R,dry riser cover through floor,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Mechanical,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,29,Quality,1
QC & BC(A)R,inadequate bleed,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Roofing,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,16,Quality,1
QC & BC(A)R,rebar on parapet,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Precast Concrete,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,16,Quality,1
QC & BC(A)R,broken concrete,2020-08-21,2020-08-27,JPC - Quality Snag (aesthetic),Scaffolding,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,15,Quality,1
QC & BC(A)R,concrete snots,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1328,Quality,6.0,8,4,summer,0,1,14,Quality,1
QC & BC(A)R,no fixing at base,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Punch Windows,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1328,Quality,6.0,8,4,summer,0,1,17,Quality,1
QC & BC(A)R,broken concrete,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Precast Concrete,FormAnswer,True,True,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,15,Quality,1
QC & BC(A)R,shadow gap too wide,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Ceilings & Partitions,FormAnswer,True,True,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,19,Quality,1
QC & BC(A)R,ground to 1st stair,2020-08-21,2020-08-27,JPC - Quality Defect (compliance),Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1328,Quality,6.0,8,4,summer,0,1,19,Quality,1
JPC Project Management>EHS Management>04 Staturatury Forms,tether of tools,2020-09-09,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,9,2,autumn,0,3,15,Safety,0
JPC Project Management>EHS Management>01 Inspections,neat company signage required,2020-08-19,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1328,Safety,,8,2,summer,0,3,29,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,fire extinguisher required,2020-09-09,,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,True,True,False,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,9,2,autumn,0,3,26,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,material storage,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,16,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,2020-09-09,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1328,Safety,,9,2,autumn,0,3,16,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,use of ladder,2020-09-09,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,Unknown,JPC - Safety - WAH Equipment,1328,Safety,,9,2,autumn,0,3,13,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,trailing  leads,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - Lead Management,1328,Safety,,9,2,autumn,0,3,15,Safety,0
JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,2020-09-09,2020-09-15,Design Team - BCAR Electrical,Mechanical,Unknown,False,False,False,Unknown,Unknown,1328,Design Team,6.0,9,2,autumn,0,3,16,Design Team,0
JPC Project Management>EHS Management>01 Inspections,scaffolding materials,2020-09-09,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,21,Safety,0
JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,13,Safety,0
JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,13,Safety,0
JPC Project Management>EHS Management>01 Inspections,storage of materials,2020-08-19,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,2,summer,0,3,20,Safety,0
JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,13,Safety,0
JPC Project Management>EHS Management>01 Inspections,house keeping,2020-09-09,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,True,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,9,2,autumn,0,3,13,Safety,0
